Año,Trimestre,Provincia,ADSL,Cablemodem,Fibra óptica,Wireless,Otros,Total
2024,2,Buenos Aires,214055,2722466,1849476,138638,64745,4989380
2024,2,Capital Federal,54102,1144781,230402,4493,29821,1463599
2024,2,Catamarca,4951,10303,58355,1384,81,75074
2024,2,Chaco,9448,57935,68944,8407,2358,147092
2024,2,Chubut,25955,80704,26516,31118,9930,174223
2024,2,Córdoba,93483,443091,477504,62162,9534,1085774
2024,2,Corrientes,14849,86226,39792,10295,5313,156475
2024,2,Entre Ríos,31335,158918,68540,23954,11564,294311
2024,2,Formosa,8488,18768,18977,16430,287,62950
2024,2,Jujuy,9509,51361,53492,4106,1216,119684
2024,2,La Pampa,6778,58647,37226,19510,1102,123263
2024,2,La Rioja,2230,55531,23294,6396,30,87481
2024,2,Mendoza,17671,66636,188815,27606,925,301653
2024,2,Misiones,20868,76427,87389,14968,6902,206554
2024,2,Neuquén,23553,72698,41784,24549,958,163542
2024,2,Río Negro,20771,49722,67636,18083,15829,172041
2024,2,Salta,19831,98511,64689,11807,6503,201341
2024,2,San Juan,12669,16978,45792,23594,6957,105990
2024,2,San Luis,4038,40063,34255,78954,299,157609
2024,2,Santa Cruz,7768,14134,49545,11353,661,83461
2024,2,Santa Fe,88486,394939,390090,44286,13172,930973
2024,2,Santiago Del Estero,5328,80000,30008,7058,2920,125314
2024,2,Tierra Del Fuego,9357,47859,3684,177,332,61409
2024,2,Tucumán,27968,20806,213753,3869,518,266914
