Partido,Localidad,link Indec,Velocidad (Mbps),Provincia,Accesos
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.0,1.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.5,2.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,0.75,19.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.0,85.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,3.5,145.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,6.0,76.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,8.0,299.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,10.0,288.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,15.0,415.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,20.0,1796.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,25.0,144.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,30.0,1501.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,40.0,27.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,50.0,647.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,80.0,9.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,100.0,693.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,300.0,95.0
BUENOS AIRES,25 de Mayo,25 de Mayo,6854100.0,500.0,3.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,10.0,59.0
BUENOS AIRES,25 de Mayo,Agustín Mosconi,6854010.0,20.0,5.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,0.5,1.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,3.0,181.0
BUENOS AIRES,25 de Mayo,Del Valle,6854020.0,10.0,10.0
BUENOS AIRES,25 de Mayo,Ernestina,6854030.0,5.0,75.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,2.0,106.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,3.0,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,4.0,56.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,5.0,7.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,6.0,3.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,8.0,4.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,10.0,1.0
BUENOS AIRES,25 de Mayo,Gobernador Ugarte,6854040.0,65.0,1.0
BUENOS AIRES,25 de Mayo,Lucas Monteverde,6854050.0,3.0,5.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,2.0,174.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,3.0,32.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,4.0,9.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,5.0,8.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,6.0,914.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,10.0,2.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,15.0,322.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,25.0,29.0
BUENOS AIRES,25 de Mayo,Norberto de la Riestra,6854060.0,50.0,20.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,6.0,2.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,10.0,177.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,15.0,3.0
BUENOS AIRES,25 de Mayo,Pedernales,6854070.0,50.0,25.0
BUENOS AIRES,25 de Mayo,San Enrique,6854080.0,20.0,11.0
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,10.0,245.0
BUENOS AIRES,25 de Mayo,Valdés,6854090.0,20.0,18.0
BUENOS AIRES,9 de Julio,12 de Octubre,6588030.0,3.0,11.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,0.75,9.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.0,198.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,3.5,114.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,5.0,154.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,6.0,4824.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,7.0,235.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,8.0,98.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,10.0,2669.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,15.0,1239.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,20.0,1144.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,30.0,362.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,50.0,631.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,100.0,1843.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,300.0,1068.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,500.0,33.0
BUENOS AIRES,9 de Julio,9 de Julio,6588100.0,1000.0,14.0
BUENOS AIRES,9 de Julio,Alfredo Demarchi  (Est. Facundo Quiroga),6588010.0,3.0,510.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,1.0,8.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,3.0,36.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,4.0,247.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,6.0,46.0
BUENOS AIRES,9 de Julio,Dudignac,6588040.0,10.0,52.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,1.0,1.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,2.0,193.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,6.0,1.0
BUENOS AIRES,9 de Julio,Manuel B. Gonnet  (Est. French),6588060.0,10.0,2.0
BUENOS AIRES,9 de Julio,Morea,6588080.0,3.0,130.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,3.0,50.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,6.0,16.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,10.0,44.0
BUENOS AIRES,9 de Julio,Patricios,6588110.0,15.0,21.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,3.0,42.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,6.0,6.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,10.0,37.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,15.0,29.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,20.0,32.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,30.0,11.0
BUENOS AIRES,9 de Julio,Villa General Fournier  (Est. 9 de Julio Sud),6588120.0,50.0,3.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.0,763.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,3.5,20.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,7.0,103.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,8.0,36.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,15.0,1231.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,30.0,1.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,31.0,266.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,50.0,820.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,61.0,31.0
BUENOS AIRES,Adolfo Alsina,Carhué,6007010.0,100.0,2.0
BUENOS AIRES,Adolfo Alsina,Colonia San Miguel Arcángel,6007020.0,3.0,208.0
BUENOS AIRES,Adolfo Alsina,Esteban Agustín Gascón,6007050.0,3.0,60.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.0,10.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,0.5,2.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,5.0,386.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,10.0,6.0
BUENOS AIRES,Adolfo Alsina,Maza,6007070.0,20.0,2.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,20.0,1252.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,35.0,26.0
BUENOS AIRES,Adolfo Alsina,Rivera,6007080.0,50.0,31.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,0.75,3.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,3.5,147.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,8.0,447.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,10.0,122.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,12.0,1.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,15.0,1422.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,30.0,44.0
BUENOS AIRES,Adolfo Gonzales Chaves,Adolfo Gonzales Chaves  (Est. Chaves),6014010.0,50.0,1.0
